stableEdge,priv_auto,on_demand,carpool,walking,biking,total,direction,streetName,Year,Type,yearbinary,treatment
"953191692462764618",402,45,188,169,37,843,W,L'Enfant Plaza Southwest,2022,Controls,1,0
"8545545762069566900",2140,260,1851,439,11,4753,W,E Street Southeast,2022,Controls,1,0
"7085899203356905197",396,79,498,331,340,1692,W,R Street Northwest,2022,Controls,1,0
"7853249118515012555",92,11,193,147,198,670,W,R Street Northwest,2022,Controls,1,0
"15102284297697394702",103,9,175,477,358,2151,W,K Street Northwest (access road),2022,Controls,1,0
"15352750710666499737",660,120,699,239,362,2166,W,R Street Northwest,2022,Controls,1,0
"7130359637122369666",770,85,592,551,777,2864,W,I Street Southwest,2022,Controls,1,0
"15241618368251755876",403,74,474,484,49,1533,W,Maryland Avenue Southwest,2022,Controls,1,0
"5640378497355410805",112,9,150,175,184,669,W,R Street Northwest,2022,Controls,1,0
"15675899637259207880",115,17,194,194,1024,1546,W,L Street Northwest,2022,Study Area,1,2
"15793743301165190113",254,21,372,4,29,698,W,C Street Northwest,2022,Controls,1,0
"1432349116676778224",99,14,74,140,182,512,W,I Street Northwest,2022,Study Area,1,2
"18351156119643367690",289,20,143,767,1393,2645,W,M Street Northeast,2022,Study Area,1,2
"8420006246248509807",428,66,439,272,526,1767,W,G Street Northwest,2022,Study Area,1,2
"15115005018842105727",6442,359,4014,361,1632,12856,W,Kenyon Street Northwest,2022,Controls,1,0
"5542049057655438498",273,29,247,230,217,1006,W,V Street Northwest,2022,Controls,1,0
"1470876962202015740",726,90,516,179,762,2291,W,R Street Northwest,2022,Controls,1,0
"8018883352179425363",339,40,314,411,870,2220,W,I Street Southwest,2022,Controls,1,0
"8286103137717928002",3829,403,4628,157,323,9887,W,Harvard Street Northwest,2022,Controls,1,0
"6593057886503411738",34,1,23,121,5,197,W,C Street Northwest,2022,Controls,1,0
"13118490489616699466",3451,252,1024,461,330,5583,W,D Street Northwest,2022,Controls,1,0
"4682427672256528623",307,31,571,252,153,1336,W,R Street Northwest,2022,Controls,1,0
"189359208777119727",1094,131,998,179,148,2779,W,E Street Northwest,2022,Study Area,1,2
"17356774400161708761",34,1,23,49,5,125,W,C Street Northwest,2022,Controls,1,0
"11924677351749698340",248,30,218,326,276,1105,W,V Street Northwest,2022,Controls,1,0
"7275718768397261146",432,81,219,134,1308,2207,W,R Street Northwest,2022,Controls,1,0
"5082453735749131438",387,22,263,90,274,1037,W,D Street Southeast,2022,Controls,1,0
"17292749811104297450",637,71,747,215,223,2081,W,E Street Northwest,2022,Controls,1,0
"15783007795893708624",356,44,364,908,550,2273,W,V Street Northwest,2022,Controls,1,0
"10115078941658176176",250,22,334,54,339,1099,W,Madison Drive Northwest,2022,Controls,1,0
"18372702945707544950",676,96,1262,45,575,2677,W,D Street Southeast,2022,Controls,1,0
"5981327973503198757",277,51,259,1028,750,2375,W,I Street Southeast,2022,Controls,1,0
"14153709165633710998",6449,212,1364,375,675,9162,W,Franklin Street Northeast,2022,Controls,1,0
"16616292057181928302",519,67,394,438,799,2256,W,I Street Southwest,2022,Controls,1,0
"1166093523231898432",0,0,0,557,353,1681,W,K Street Northwest (access road),2022,Controls,1,0
"11385690543350378633",3865,425,4696,11,313,9869,W,Harvard Street Northwest,2022,Controls,1,0
"728915692964469256",6577,215,1390,141,282,8691,W,Franklin Street Northeast,2022,Controls,1,0
"2036925697993991577",100,14,89,84,59,381,W,C Street Southwest,2022,Controls,1,0
